Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Mezzo Rotto (feat. BigMama)","Alessandra Amoroso","Mezzo Rotto (feat. BigMama)","WrappedMarcin2025","Playlist","ITB002400692","0cDq1fpfr9NNFNAKQXLLK7"
"The Emptiness Machine","Linkin Park","From Zero (Deluxe Edition)","WrappedMarcin2025","Playlist","USWB12403464","3AA50LilsWIK5HstsdUa0I"
"Cento Occhi","BigMama","Sangue","WrappedMarcin2025","Playlist","ITRWL2400009","2OmhL0qs4wUWApqZ31qPI8"
"Tarantella","Gabry Ponte","Tarantella","WrappedMarcin2025","Playlist","ITV952400288","4pBuhoBxgwBpkkOhfT6p6N"
"The Motto","Tiësto","DRIVE","WrappedMarcin2025","Playlist","CYA112001070","3j11iDncb7ZeDMw7lFucqM"
"Odrobinę więcej","Artur Rojek","Odrobinę więcej","WrappedMarcin2025","Playlist","PLW912300001","1AUJJIHo8z9quFWg4MNJag"
"Wyspa","Transsexdisco","Surreal","WrappedMarcin2025","Playlist","PLE781700028","16dJg2t3lkAaKkiX4M4fGi"
"Heavy Is the Crown","Linkin Park","From Zero (Deluxe Edition)","WrappedMarcin2025","Playlist","USWB12403466","0Fd4oSOZ2nHtdHOkgyI4qz"
"Ma che Hit","BigMama","Ma che Hit","WrappedMarcin2025","Playlist","ITRWL2300003","0UdDpDeyyidQZISEhEqAMH"
"Bisschen Spaß","HBz","Bisschen Spaß","WrappedMarcin2025","Playlist","DEVX52400214","24wElmHDZKQXKz8s5wkAP4"
"W transie","Transsexdisco","Surreal","WrappedMarcin2025","Playlist","PLE781700032","1HDxrUX5eRkAo1gRY4JbPx"
"melodrama","Angelina Mango","poké melodrama","WrappedMarcin2025","Playlist","ITJG42400007","5y7dpbKf0E3TW93k5w0JIs"
"Si mette male","Alessandra Amoroso","Si mette male","WrappedMarcin2025","Playlist","ITB002401257","4d2C04FQ4e4RexeNFiQfnV"
"Loteria","Hurrockaine","Amantes Amentes","WrappedMarcin2025","Playlist","GBSMU9358750","6Mfoo2LffjJKzIRtNS8n4Y"
"Brzeg","Przebiśniegi","Letnie myśli","WrappedMarcin2025","Playlist","PLB172400190","2zmnNGd0BOJldO4NO3BhAF"
"Ready For Your Love","Felix Jaehn","Ready For Your Love","WrappedMarcin2025","Playlist","DEUM72406814","3Kr7UHOUkgaH4PK3Mp1fUP"
"Viento","Gabry Ponte","Viento","WrappedMarcin2025","Playlist","ITV952400305","4OIJAOZkj6ChEvSIzUKDmQ"
"Training Season - Extended","Dua Lipa","Training Season","WrappedMarcin2025","Playlist","GBAHT2400093","2FZwnQYXFyg6b5sCRHQ0fD"
"King of the Jungle","SHANGUY","King of the Jungle","WrappedMarcin2025","Playlist","IT0311800116","53LteEjcSpfVteuXfVsCtx"
"Disease","Lady Gaga","Disease","WrappedMarcin2025","Playlist","USUM72407015","19KlZwqlT3fguP2BeHF1Q1"
"Nie znikam","Transsexdisco","Surreal","WrappedMarcin2025","Playlist","PLE781700023","77eJECKA0bZp88B6Skek28"
"Kometa","Kwiat Jabłoni","Kometa","WrappedMarcin2025","Playlist","PLC592200049","4N5Zr54gwQiDSYMk2Jyy0j"
"He's A Pirate (Save Me)","Gabry Ponte","He's A Pirate (Save Me)","WrappedMarcin2025","Playlist","ITV952400315","1Vj7ZZgVpNIKqkC2bA9mpx"
"Outsiders","Franz Ferdinand","You Could Have It So Much Better","WrappedMarcin2025","Playlist","GBCEL0500838","7hB6SkmugPK198kpgxDkDA"
"MALAVITA","Coma_Cose","MALAVITA","WrappedMarcin2025","Playlist","ITFR82410028","49tdZnvKAnJP6Xb3PUucPD"
