Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Hey You,The Belair Lip Bombs,Hey You,TopFrash2025,Playlist,US3JJ2501250,55hQIuN7pJ7pHjNy9RO4y0
Rivet Gun,Mother Soki,Rivet Gun,TopFrash2025,Playlist,QZQAY2568340,6UwYHPRnrv4Glcp74tiP9B
Bunna Summa,BunnaB,Bunna Summa (Ice Cream Summer Deluxe),TopFrash2025,Playlist,QZZ4J2500159,43FkWr8JNh12rKfXNBFR1H
To The Sandals,Dove Ellis,To The Sandals,TopFrash2025,Playlist,USA2P2540980,3bTDnlYinDUIC5giN64TNE
East Texas and You,Solon Holt,East Texas and You,TopFrash2025,Playlist,TCAJE2500003,3Vl3sIrcTxAMmeh07x2zN2
Lullaby,JayDon,Me My Songs & I,TopFrash2025,Playlist,QZQAY2550331,1mOwVgwbD4HWrATknEbCMP
Funny Music,Gelli Haha,Switcheroo,TopFrash2025,Playlist,USD8D2528001,39BCr0yKXsGWFsvsfin8sP
Collect 200,Collect 200,Collect 200,TopFrash2025,Playlist,CBEFB2500208,5wMhlHcon8U2WNA05QMUb6
SEEK,DC3,SEEK,TopFrash2025,Playlist,QZTAX2545069,1apkmCkiKMYizWGJLIHrF9
AT&T,Liquid Mike,Hell Is An Airport,TopFrash2025,Playlist,QM6MZ2511780,4Q5sAFJ9qstk1i8bCWesA6
I'll Take It,Sophia Stel,Object Permanence (Deluxe Edition),TopFrash2025,Playlist,CA5KR2511746,0FAlG6uOeaXWuRdDxaeIQY
mona melody,shama,loki,TopFrash2025,Playlist,PLI366633740,4rLuxGOa1OHHJ3VAkWvnXF
William,doggone,William,TopFrash2025,Playlist,QZK6J2517396,2shtEEiR2LwVUrQ1ynCZs5
My Endeavour,Ruby Roberts,Somersault Queen,TopFrash2025,Playlist,GXGNZ2500004,32zC4WPTjQdzXbQGvSk6rB
300 dreams,After,300 dreams,TopFrash2025,Playlist,QZHN32514873,3gkVuPHTyp4rHH5YrczzOL
21st Century Cool Girl,Chloe Qisha,21st Century Cool Girl,TopFrash2025,Playlist,UKQY82500001,5dUOWlWWYdAgqeXwTgbaKt
Foxglove,Babble Hume,Mulberry Tree,TopFrash2025,Playlist,QZVEM2571410,3TdFgirqLH4lELwbutbZoS
piano in the sky,Mikayla Geier,HOT POT!,TopFrash2025,Playlist,QMBZ92514161,0tGPVoB37sQYmnAwTsg7gq
you're such a good girl?,bartek turski,you're such a good girl?,TopFrash2025,Playlist,SE6XX2516812,4ipDXHc66uOSZ1igOKvOvC
other boys are boring,panicbaby,other boys are boring,TopFrash2025,Playlist,DE1FB2500358,4GBZaVt4WS0OpK4WERsFZ3
Too Pretty For Buffalo,Baby Nova,Too Pretty For Buffalo,TopFrash2025,Playlist,QZZ4J2500077,0YSLuLkd42sfo1CYXcdijR
Heavy,Florence Road,Heavy,TopFrash2025,Playlist,GBAHT2500055,7bOi2P9koS8GKmGBc8wjzU
blue,MUD/O,It's enough to say I tried,TopFrash2025,Playlist,PLK682500019,2NHK219XZGLZfnP0pVYqV0
CRUISING TO SELF SOOTHE,Ecca Vandal,CRUISING TO SELF SOOTHE,TopFrash2025,Playlist,QZGLM2502365,3QEDCbKlBdzEaMmdKUJJvu
Creature Skin,Ella Ion,Map // Creature Skin,TopFrash2025,Playlist,FRX202557495,3uuewLm16NAXIWWu1yy9jq
"Almost, So Close, Maybe",Mercer Henderson,"Almost, So Close, Maybe",TopFrash2025,Playlist,QZDA72545914,7fHGHPONRtBjZTNkCNGe6x
Give Me A Sign (feat. Caroline Kingsbury),MARIS,Give Me A Sign (feat. Caroline Kingsbury),TopFrash2025,Playlist,QM4TX2546245,3DrbSP3GR8cEqWcR6jf9yJ
That Ass!,Sofia Gobbi,That Ass!,TopFrash2025,Playlist,GBMA22513480,6H79VxoWSdAh6pGDDBgdSl
East Coast Summers,Kaleb Cohen,East Coast Summers,TopFrash2025,Playlist,QZNWT2523626,2bB8T6DWnjtaUaWkK2NbEx
idk,Allison Eide,idk,TopFrash2025,Playlist,QZTBD2569087,780hk3px4rQ8p4YCMlcPKN
Backwards,James Arp,Backwards,TopFrash2025,Playlist,GBPVV2500058,2DUiRFebJGEXFSQLJsKo2q
Knock Me Off My Feet,oskar med k,Knock Me Off My Feet,TopFrash2025,Playlist,QM3DF2415783,6Xgbgdi7F7BGrZPrYcxFVl
Killed For Sport,Baby Nova,Killed For Sport,TopFrash2025,Playlist,QZZ4J2500015,2wIRaHeRDzmGSu9e3i2Rup
use me!!!!!!!,Olga Myko,WHEN A GIRL CRIES,TopFrash2025,Playlist,SE6XW2519883,4RvaI6d8mWCfEcGffUN52w
Onions,LUKAS OSCAR,Onions,TopFrash2025,Playlist,ATJ852500009,6R1NQXv3yXEMNmEoq3oV5w
KEEP IT COOL,Eileen Alister,KEEP IT COOL,TopFrash2025,Playlist,QM6P42598057,73F2NmXZV1usx6pzxXZDEj
Who are you?,Saga Faye,East of the Sun...,TopFrash2025,Playlist,AEA3A2284778,50ANZ1OBh0LnCJboVo9Vd2
eYeSiGht,Min Taka,eYeSiGht,TopFrash2025,Playlist,NLSB72400680,61PhLZbklL2DeRgvuESvFs
The Actor,Folk Bitch Trio,Now Would Be A Good Time,TopFrash2025,Playlist,US38Y2547103,4LtcR3gIVqoNDTf1KyTxdu
Stars Above,Swoosh,Stars Above,TopFrash2025,Playlist,GBEFR2309324,36vtpWkQyA2wTxkH8taIHg
Call U Back,TTSSFU,Call U Back,TopFrash2025,Playlist,USBQU2500105,47HdXfgydiy53cEiD6lhU5
planet you forgot me,Leyla Ebrahimi,planet you forgot me,TopFrash2025,Playlist,QZFZ42594821,6gUvpGQR1ZS5PgqbmPaVAv
All I Really Want,Yes Boone,All I Really Want,TopFrash2025,Playlist,AUNV02500142,0EQL9rp9Y1a8j7MfEmq62Q
Apollo,Jelly Crystal,Apollo,TopFrash2025,Playlist,QMFME2430123,1DJxgr5EBDty2LY1HP089Z
Tiara,WHYLUCAS,ORANGE,TopFrash2025,Playlist,SGB242501756,3D5TyioMGoClKaHp4YosQX
Baddiez,Swank Mami,Baddiez,TopFrash2025,Playlist,QZR8K2449006,7N1WN9SQPgIKsFcQN50I6k
lightspeed,VALÉ,lightspeed,TopFrash2025,Playlist,QM6P42534754,5g71YkvLRR1a65L8yLsDnV
Sedona,Anna Bates,Sedona,TopFrash2025,Playlist,QZDA42531021,7b7ILSiNTtbn16VYqvIqrG
Dave's TV,The Thing,The Thing,TopFrash2025,Playlist,QZPEW2586885,4Y5g3iXxuyiZYDw69wPRsL
Nkosi's Fantasia,Miki Ikhifa,Nkosi's Fantasia: Chapter One,TopFrash2025,Playlist,QZTBE2363382,0imRQRfzB7MW7zruc0RbLZ
coming around,fliss,coming around,TopFrash2025,Playlist,UKELY2500021,2aNCgj2Px3flyBD5kqS2WJ
