Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Die With A Smile","Lady Gaga","MAYHEM","TopGlobal2025","Playlist","USUM72409273","7so0lgd0zP2Sbgs2d7a1SZ"
"BIRDS OF A FEATHER","Billie Eilish","HIT ME HARD AND SOFT","TopGlobal2025","Playlist","USUM72401994","6dOtVTDdiauQNBQEDOtlAB"
"APT.","ROSÉ","rosie","TopGlobal2025","Playlist","USAT22409172","4wJ5Qq0jBN4ajy7ouZIV1c"
"Ordinary","Alex Warren","You'll Be Alright, Kid (Chapter 1)","TopGlobal2025","Playlist","USAT22500463","2RkZ5LkEzeHGRsmDqKwmaJ"
"DtMF","Bad Bunny","DeBÍ TiRAR MáS FOToS","TopGlobal2025","Playlist","QMFMF2447070","3sK8wGT43QFpWrvNQsrQya"
"back to friends","sombr","I Barely Know Her","TopGlobal2025","Playlist","USWB12405502","7qjZnBKE73H4Oxkopwulqe"
"Golden","HUNTR/X","KPop Demon Hunters (Soundtrack from the Netflix Film)","TopGlobal2025","Playlist","QZ8BZ2513510","1CPZ5BxNNd0n0nF4Orb9JS"
"luther (with sza)","Kendrick Lamar","GNX","TopGlobal2025","Playlist","USUG12408496","2CGNAOSuO1MEFCbBRgUzjd"
"That’s So True","Gracie Abrams","The Secret of Us (Deluxe)","TopGlobal2025","Playlist","USUG12406903","7ne4VBA60CxGM75vw0EYad"
"WILDFLOWER","Billie Eilish","HIT ME HARD AND SOFT","TopGlobal2025","Playlist","USUM72401993","3QaPy1KgI7nu9FJEQUgn6h"
"Sailor Song","Gigi Perez","At The Beach, In Every Life","TopGlobal2025","Playlist","USHM92438095","21IYMdzTrzSe191Cy5eMap"
"BAILE INoLVIDABLE","Bad Bunny","DeBÍ TiRAR MáS FOToS","TopGlobal2025","Playlist","QMFMF2447057","2lTm559tuIvatlT1u0JYG2"
"Beautiful Things","Benson Boone","Fireworks & Rollerblades","TopGlobal2025","Playlist","USWB12307016","3xkHsmpQCBMytMJNiDf3Ii"
"Espresso","Sabrina Carpenter","Short n' Sweet","TopGlobal2025","Playlist","USUM72403305","2HRqTpkrJO5ggZyyK6NPWz"
"Timeless (feat Playboi Carti)","The Weeknd","Hurry Up Tomorrow","TopGlobal2025","Playlist","USUG12406536","0FIDCNYYjNvPVimz5icugS"
"Messy","Lola Young","This Wasn't Meant For You Anyway","TopGlobal2025","Playlist","GBUM72401610","35ISBknsCeZQtq66xABI9g"
"Iris","The Goo Goo Dolls","Dizzy up the Girl","TopGlobal2025","Playlist","USWB19800160","6Qyc6fS4DsZjB2mRW9DsQs"
"La Plena - W Sound 05","W Sound","La Plena (W Sound 05)","TopGlobal2025","Playlist","USWL12500595","6iOndD4OFo7GkaDypWQIou"
"All The Stars (with SZA) - From ""Black Panther: The Album""","Kendrick Lamar","Black Panther The Album Music From And Inspired By","TopGlobal2025","Playlist","USUM71713947","3GCdLUSnKSMJhs4Tj6CV3s"
"The Night We Met","Lord Huron","Strange Trails","TopGlobal2025","Playlist","US53Q1200103","3hRV0jL3vUpRrcy398teAU"
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd","The Idol Episode 4 (Music from the HBO Original Series)","TopGlobal2025","Playlist","USUG12303881","7CyPwkp0oE8Ro9Dd5CUDjW"
"NUEVAYoL","Bad Bunny","DeBÍ TiRAR MáS FOToS","TopGlobal2025","Playlist","QMFMF2447055","5TFD2bmFKGhoCRbX61nXY5"
"Lose Control","Teddy Swims","I've Tried Everything But Therapy (Part 1)","TopGlobal2025","Playlist","USWB12302315","17phhZDn6oGtzMe56NuWvj"
"Good Luck, Babe!","Chappell Roan","Good Luck, Babe!","TopGlobal2025","Playlist","USUG12401967","0WbMK4wrZ1wFSty9F7FCgu"
"Not Like Us","Kendrick Lamar","Not Like Us","TopGlobal2025","Playlist","USUG12400910","6AI3ezQ4o3HUoP6Dhudph3"
"Who","Jimin","MUSE","TopGlobal2025","Playlist","USA2P2431062","7tI8dRuH2Yc6RuoTjxo4dU"
"Sweater Weather","The Neighbourhood","I Love You.","TopGlobal2025","Playlist","USSM11300080","2QjOHCTQ1Jl3zawyYOpxh6"
"I Wanna Be Yours","Arctic Monkeys","AM","TopGlobal2025","Playlist","GBCEL1300373","5XeFesFbtLpXzIVDNQP22n"
"Love Me Not","Ravyn Lenae","Bird's Eye","TopGlobal2025","Playlist","USAT22401137","4WFgvKVfEhb3IUAFGrutTR"
"EoO","Bad Bunny","DeBÍ TiRAR MáS FOToS","TopGlobal2025","Playlist","QMFMF2447069","6J5kc12BW5HuP3d7C3vvx8"
"Yellow","Coldplay","Parachutes","TopGlobal2025","Playlist","GBAYE0000267","3AJwUDP919kvQ9QcozQPxg"
"Every Breath You Take","The Police","Synchronicity (Remastered 2003)","TopGlobal2025","Playlist","GBAAM0201110","1JSTJqkT5qHq8MDJnJbRE1"
"VOY A LLeVARTE PA PR","Bad Bunny","DeBÍ TiRAR MáS FOToS","TopGlobal2025","Playlist","QMFMF2447056","59D4DOkspUbWyMmbAPQkxZ"
"Si Antes Te Hubiera Conocido","KAROL G","Tropicoqueta","TopGlobal2025","Playlist","USUG12400968","73scB4Q4fcOmnsBVZPmk32"
"Pink Pony Club","Chappell Roan","The Rise and Fall of a Midwest Princess","TopGlobal2025","Playlist","USAT22001300","6393yGahSJ9slVdOwSxOVR"
"undressed","sombr","I Barely Know Her","TopGlobal2025","Playlist","USWB12500737","0TFTAtCYhp2tQ9KcJIZb55"
"No One Noticed","The Marías","Submarine","TopGlobal2025","Playlist","USAT22307579","3siwsiaEoU4Kuuc9WKMUy5"
"Abracadabra","Lady Gaga","MAYHEM","TopGlobal2025","Playlist","USUM72412581","2LHNTC9QZxsL3nWpt8iaSR"
"VeLDÁ","Bad Bunny","DeBÍ TiRAR MáS FOToS","TopGlobal2025","Playlist","QMFMF2447060","7d6yK8v8J484SWH5prIQiE"
"Sports car","Tate McRae","So Close To What","TopGlobal2025","Playlist","USRC12403580","5UJbgR4XF4y1DvbkxEqe8S"
"See You Again (feat. Kali Uchis)","Tyler, The Creator","Flower Boy","TopGlobal2025","Playlist","USQX91701275","7KA4W4McWYRpgf0fWsJZWB"
"Don’t Say You Love Me","Jin","Echo","TopGlobal2025","Playlist","USA2P2509874","27xkOIER6uDLKALIelHylZ"
"like JENNIE","JENNIE","Ruby","TopGlobal2025","Playlist","USQX92500261","0fK7ie6XwGxQTIkpFoWkd1"
"Taste","Sabrina Carpenter","Short n' Sweet","TopGlobal2025","Playlist","USUM72404100","5G2f63n7IPVPPjfNIGih7Q"
"tv off (feat. lefty gunplay)","Kendrick Lamar","GNX","TopGlobal2025","Playlist","USUG12408493","0aB0v4027ukVziUGwVGYpG"
"Creep","Radiohead","Pablo Honey","TopGlobal2025","Playlist","GBAYE9200070","70LcF31zb1H0PyJoS1Sx1r"
"capaz (merengueton)","Alleh","LA CIUDAD","TopGlobal2025","Playlist","USLD91766968","4DnrAI8WyUY6gkOwl8GlPN"
"Qué Pasaría...","Rauw Alejandro","Cosa Nuestra","TopGlobal2025","Playlist","USQX92404984","0l0vcZMU7AOeQmUIREoI2U"
"blue","yung kai","stay with the ocean, i'll find you","TopGlobal2025","Playlist","TLVEM2456474","6W614n8yLUeS3zsZSeBwyq"
"we can't be friends (wait for your love)","Ariana Grande","eternal sunshine","TopGlobal2025","Playlist","USUM72317276","51ZQ1vr10ffzbwIjDCwqm4"
