Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Dom Nad Wodą","Pezet","Muzyka Komercyjna (Deluxe)","TopPolska2025","Playlist","PL86E2200013","3fsukGRaCYqfoQ010VQGcC"
"KOCHASZ?","Sobel","NAPISZ JAK BĘDZIESZ","TopPolska2025","Playlist","PLUM72400642","2XjSsK9NKNcojJwzmLdIWG"
"dopóki się nie znüdzisz","MIÜ","dopóki się nie znüdzisz","TopPolska2025","Playlist","PLC062542256","4WU8ZRMoonGLw00lXLOvpY"
"CASABLANCA","Sentino","King Sento 2","TopPolska2025","Playlist","PLC062525070","1U7ZU4sJsMDzHSA7n333BJ"
"KAMIKAZE","Mata","2039: ZŁOTE PIASKI","TopPolska2025","Playlist","PL2B92500164","5tCxCYuFA57AhVtHqxP7kr"
"CAŁE LATO","Sobel","NAPISZ JAK BĘDZIESZ","TopPolska2025","Playlist","PLUM72500115","51cTY5CXYRwZdAyWFzWsxt"
"Multisport","Kaz Bałagane","A nie mówiłem?","TopPolska2025","Playlist","PL2E52400010","1ZIscVoYHftgA5STle5cPo"
"Ordinary","Alex Warren","You'll Be Alright, Kid (Chapter 1)","TopPolska2025","Playlist","USAT22500463","2RkZ5LkEzeHGRsmDqKwmaJ"
"up! up! up!","Mata","intro + up! up! up!","TopPolska2025","Playlist","PL2B92500067","1PlysCdOuMYvE8imkyvHLx"
"CHA CHA","Sobel","NAPISZ JAK BĘDZIESZ","TopPolska2025","Playlist","PLUM72500113","7Lz3Eidz8YjBbK7GHNIn3o"
"Miss Dior","MODELKI","Miss Dior","TopPolska2025","Playlist","PLUM72500101","08gvD5pFucRIkh16bN5qRA"
"back to friends","sombr","I Barely Know Her","TopPolska2025","Playlist","USWB12405502","7qjZnBKE73H4Oxkopwulqe"
"Die With A Smile","Lady Gaga","MAYHEM","TopPolska2025","Playlist","USUM72409273","7so0lgd0zP2Sbgs2d7a1SZ"
"Z TYŁU GŁOWY","Sobel","NAPISZ JAK BĘDZIESZ","TopPolska2025","Playlist","PLUM72500094","6zpsWkV2EMMjIJhGE6b62d"
"Show Me Love","WizTheMc","YEBO","TopPolska2025","Playlist","DE1FB2500005","33lL8HLB8YO834kMoQeoZd"
"Santa Cruz","Ekipa","Santa Cruz","TopPolska2025","Playlist","PL4I52500012","7eBnyfgpicRCTgGvlwJoMS"
"BIRDS OF A FEATHER","Billie Eilish","HIT ME HARD AND SOFT","TopPolska2025","Playlist","USUM72401994","6dOtVTDdiauQNBQEDOtlAB"
"APT.","ROSÉ","rosie","TopPolska2025","Playlist","USAT22409172","4wJ5Qq0jBN4ajy7ouZIV1c"
"TAK TO LATA (feat. Tuszol)","Bungee","TAK TO LATA (feat. Tuszol)","TopPolska2025","Playlist","PLB382500474","6dpH1qquecoX7w9gTRkdzz"
"Messy","Lola Young","This Wasn't Meant For You Anyway","TopPolska2025","Playlist","GBUM72401610","35ISBknsCeZQtq66xABI9g"
"Sophia Loren","Tymek","Popularne","TopPolska2025","Playlist","PLUM72100425","493ORSeExHylEYu7tolox9"
"300 BANIEK","Otsochodzi","TTHE GRIND (DELUXE)","TopPolska2025","Playlist","PLI292400923","4laCtGHEZEupZ7uEDQH2Ae"
"Ground Zero","PRO8L3M","Ground Zero Mixtape","TopPolska2025","Playlist","PLI291800119","7gPbVDk8Es7AVHTLUFq6CU"
"NIENAWIDZĘ BYĆ W KLUBIE","GOMBAO 33","NIENAWIDZĘ BYĆ W KLUBIE","TopPolska2025","Playlist","PL2B92500064","126sCXH3zr18kbHlKit0sX"
