Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1MsoH4Fz8O9PKbTW5SkXbJ,"och i ach","och i ach","Sylwia Grzeszczak",2024-05-17,181382,64,,2024-12-04T12:15:00Z,"disco polo","WM Poland/WMI",0.684,0.753,9,-4.915,0,0.0272,0.021,0,0.241,0.876,113.99,4
3XWr2NZqYd80MB8FIq9r55,"Ne Rozumiju","BLINDBOX","Vixen",2023-10-20,200769,62,,2024-12-04T12:15:00Z,"","Vix.N",0.58,0.682,9,-7.566,0,0.0726,0.319,0,0.113,0.263,77.756,4
2D4DUc5XU6p8iBmzjPH9AZ,"HERO","PATOPOP (Vol. 1)","Kizo,Bletka,clearmind,papablessbeatz",2024-06-19,164895,56,,2024-12-04T12:15:00Z,"disco polo","spacerange",0.718,0.761,2,-6.839,1,0.129,0.118,0.0000382,0.166,0.562,143.057,4
5OC347cwcGpiwnHt0YmToq,"było, minęło","Kaprysy","sanah",2024-06-13,207169,65,,2024-12-04T12:15:00Z,"","Magic Records",0.797,0.608,4,-6.804,1,0.0424,0.666,0.0309,0.174,0.482,105.982,4
0peRfvtx1Je91FxQtii5DJ,"Chyba że z Tobą","Chyba że z Tobą","MODELKI,Vłodarski",2024-04-04,131250,66,,2024-12-04T12:15:00Z,"disco polo","Universal Music Polska Sp. z o.o.",0.739,0.575,11,-10.244,0,0.0396,0.633,0.0361,0.122,0.663,128.056,4
2nUpzFnUPY6Omv9XWa292d,"Genziara","Genziara","GENZIE",2024-03-10,140000,62,,2024-12-04T12:15:00Z,"","Ekipa",0.71,0.892,11,-6.054,0,0.0658,0.0676,0.0089,0.632,0.277,114.013,4
73f2sCPvdMu9eWrbA0Eu56,"Nie Szkodzi","Nie Szkodzi","Paula Biskup,Piotr Odoszewski",2024-03-15,151687,55,,2024-12-04T12:15:00Z,"","Magic Records",0.441,0.385,1,-11.006,0,0.0701,0.878,0.00184,0.266,0.321,159.767,4
5QOdYa6XQMdIm6fMYhjHQk,"Woda Księżycowa","Woda Księżycowa","Kubi Producent,bambi,Fukaj,stickxr",2024-03-22,191304,64,,2024-12-04T12:15:00Z,"","Sony Music Entertainment",0.573,0.753,5,-8.008,0,0.373,0.0194,0,0.549,0.46,138,4
3XhllIfCF2T1RaJwbBWSdi,"Róż","Róż","Jonatan,Bletka,Gibbs",2024-07-10,171694,66,,2024-12-04T12:15:00Z,"disco polo","Jonatan",0.738,0.572,2,-7.773,0,0.163,0.571,0,0.643,0.457,121.08,4
4S78rQHd6cSC8g2TfdNJTf,"Lloret de Mar","Lloret de Mar","Mata",2024-09-16,125732,69,,2024-12-04T12:15:00Z,"","¸¸♬·¯·♩¸¸♪·¯·♫¸¸♫·¯·♪",0.773,0.744,0,-6.478,0,0.058,0.431,0.000119,0.0836,0.348,104.997,4
1Wh2SwNbe3OQCoskPc3fD8,"Tam słońce, gdzie my","Tam słońce, gdzie my","Wiktor Dyduła",2024-06-13,195093,65,,2024-12-04T12:15:00Z,"","Universal Music Polska Sp. z o.o.",0.757,0.787,5,-5.984,1,0.0404,0.527,0.0000768,0.111,0.784,128.035,4
4588ZH7944EUrbDvdkr2sA,"Złamane serce jest OK","Dziewczyna Pop","Daria Zawiałow",2023-10-20,195649,63,,2024-12-04T12:15:00Z,"","Sony Music Entertainment",0.604,0.949,4,-4.888,0,0.0391,0.00548,0.000269,0.0896,0.521,104.014,4
6mtyMWr8cDvLroVQgR3UC9,"Dzięki, że jesteś","Heca","Lanberry,Tribbs",2024-11-08,150834,51,,2024-12-04T12:15:00Z,"disco polo,hypertechno","WM Poland/WMI",0.683,0.756,0,-6.625,1,0.0677,0.0723,0,0.291,0.727,128.026,3
2uN7ueBbQDExGTiJD5kchM,"Miłego lata","Siniaki i cekiny","Margaret",2024-04-26,162484,43,,2024-12-04T12:15:00Z,"","Sony Music Entertainment",0.629,0.925,0,-5.52,0,0.0565,0.0188,0.0000254,0.119,0.818,160.897,4
6rCz0E0G6El6irdft7Zjgp,"Falochrony","Falochrony","Roxie,Mata",2024-08-23,169142,66,,2024-12-04T12:15:00Z,"","¸¸♬·¯·♩¸¸♪·¯·♫¸¸♫·¯·♪ / Roxie Węgiel",0.736,0.698,10,-7.316,0,0.0475,0.104,0.0000246,0.069,0.519,104.975,4
5G7d637BU8TQbUjcE1qjMt,"B012","B012","Bletka",2024-03-27,138600,64,,2024-12-04T12:15:00Z,"disco polo","spacerange",0.69,0.617,1,-7.387,0,0.0956,0.153,0,0.086,0.489,99.985,4
3a4hbzdiwoXYVa0n9XRyDK,"HIPNOZA","HIPNOZA","NIKOŚ",2023-12-30,194471,61,,2024-12-04T12:15:00Z,"","broke",0.744,0.514,10,-9.918,0,0.334,0.226,0,0.103,0.795,170.109,3
3eNAqHexMFGCvtzaMwkjEH,"Wolne duchy","Wolne duchy (feat. Daria Zawiałow, Mrozu & Kacperczyk)","Męskie Granie Orkiestra,Daria Zawiałow,Mrozu,Kacperczyk",2024-06-11,185471,58,,2024-12-04T12:15:00Z,"disco polo","SME Poland Sp. z o.o. / SBM Label / Mrozu / Live",0.635,0.69,4,-6.485,0,0.0597,0.0106,0.0000265,0.388,0.813,145.908,4
3is9xGBEPrkLAF0fryCLK7,"taki mały ja","taki mały ja","kuqe 2115,francis",2024-08-23,174374,67,,2024-12-04T12:15:00Z,"","2115",0.725,0.71,1,-9.176,0,0.127,0.258,0,0.0731,0.502,128.045,4
4ywwVa2OUlNH9U6RSxK5HY,"Byłominęło","Byłominęło","Kwiat Jabłoni",2023-09-06,225754,44,,2024-12-04T12:15:00Z,"","Universal Music Polska Sp. z o.o.",0.634,0.812,7,-8.01,0,0.0436,0.353,0.0000385,0.127,0.819,164.057,4
3CgWmnnox6kF0NvJpZWSv8,"Te numery","PG$","Young Leosia,bambi,PG$,francis",2024-03-07,157241,62,,2024-12-04T12:15:00Z,"","BE Records",0.74,0.777,4,-7.19,0,0.189,0.147,0,0.171,0.543,144.921,4
2L8ynuwjZTbrJMOoUuApDA,"hip hip hura!","Kaprysy","sanah",2024-06-13,251455,59,,2024-12-04T12:15:00Z,"","Magic Records",0.641,0.776,1,-5.088,0,0.0741,0.348,0.0000211,0.293,0.31,102.004,4
7dqZFw1Mm6U7HaqSnXnf3m,"NIECH BOLI","NIECH BOLI","Sobel,Magiera",2024-03-07,150831,46,,2024-12-04T12:15:00Z,"","Universal Music Polska Sp. z o.o.",0.333,0.5,7,-6.695,0,0.0489,0.633,0,0.25,0.475,174.975,4
1Eaiv6OMMwO3v4iWl4eHHY,"Motyle","Motyle","Sylwia Grzeszczak",2024-01-05,175667,60,,2024-12-04T12:15:00Z,"disco polo","WM Poland/WMI",0.611,0.467,2,-6.578,1,0.0598,0.0837,0,0.136,0.343,129.876,4
4kcMDgaU8xb4otoDv5c4kD,"Drive","SAFE","Gibbs,Opał,Jonatan,4Money",2023-10-24,202758,66,,2024-12-04T12:15:00Z,"horrorcore","DOPEHOUSE",0.803,0.627,7,-8.07,1,0.328,0.365,0,0.12,0.427,86.992,4
4IUMSDTVvUellFQ7RxI3kZ,"The Tower","The Tower","LUNA",2024-01-23,180333,48,,2024-12-04T12:15:00Z,"melodyjne techno","Universal Music Polska Sp. z o.o.",0.578,0.873,5,-7.14,1,0.0663,0.00248,0.0221,0.263,0.693,155.976,4
33zbrcm0cYIxT5YvEGlFDl,"Całkiem Nowa Bajka","Akademia Pana Kleksa","Kleks,Igo,Kaśka Sochacka,Mrozu,Artur Rojek,Brodka,Bedoes 2115,Sokół",2023-12-01,193855,55,,2024-12-04T12:15:00Z,"disco polo","OPEN MIND ONE",0.699,0.81,7,-6.831,0,0.0815,0.228,0,0.579,0.289,122.066,4
0QJOCY8XN0CpmLtIdQLRGK,"Cały czas","Cały czas","Oskar Cyms",2024-05-24,168000,59,,2024-12-04T12:15:00Z,"","DB4 Management",0.707,0.718,1,-7.973,1,0.0377,0.00683,0.00000286,0.27,0.887,119.937,4
2N3ZrP2F4q6PHx8Ei1aepT,"Naiwna Dziewucha","Naiwna Dziewucha","Diiya",2024-10-11,129600,49,,2024-12-04T12:15:00Z,"disco polo","Diiya",0.736,0.684,3,-5.549,0,0.0755,0.117,0,0.0955,0.716,149.99,4
5hoFcKelVv20tFGK46X4rY,"Bursztynowe Koraliki","Bursztynowe Koraliki","Pan Savyan,Julia Kamińska",2024-10-03,226285,56,,2024-12-04T12:15:00Z,"disco polo","Pan Savyan, Julia Kamińska",0.733,0.758,3,-6.023,1,0.0306,0.333,0,0.26,0.768,105.007,4
1mM3zG72lDhGcCE8CG9XT7,"Obca","Obca","bryska",2024-01-03,162857,46,,2024-12-04T12:15:00Z,"","Magic Records",0.784,0.827,3,-4.939,0,0.0379,0.165,0.0000154,0.128,0.728,125.964,4
21v4fl1hJ2bAUtp5fnpkoP,"Czuję Cię Obok","Czuję Cię Obok","FANKA,BRSC,Mike Johnson",2024-09-05,152575,54,,2024-12-04T12:15:00Z,"","Anna Wójcik",0.666,0.433,7,-7.509,0,0.0608,0.756,0,0.117,0.319,139.921,4
3dzLIfyygjAMlm0f8rN7GQ,"SALTY","PLAYHOUSE","Sara James",2024-11-07,191346,60,,2024-12-04T12:15:00Z,"","Universal Music Polska Sp. z o.o.",0.719,0.663,9,-4.798,0,0.0303,0.152,0,0.275,0.554,104.038,4
06WAHlXnCIn6DkelXwtUOd,"Od kiedy jesteś","Od kiedy jesteś","Dominik Dudek",2024-06-20,182137,58,,2024-12-04T12:15:00Z,"folk-pop","Universal Music Polska Sp. z o.o.",0.688,0.786,11,-6.388,1,0.0408,0.0565,0,0.242,0.545,112,4
