Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0Z7nGFVCLfixWctgePsRk9,"TEXAS HOLD 'EM","TEXAS HOLD 'EM","Beyoncé",2024-02-11,233456,77,bxgtbmu29zea5sjxq5q9jfzq5,2024-03-09T15:09:45Z,"","Parkwood Entertainment/Columbia",0.727,0.711,2,-6.549,1,0.078,0.582,0,0.158,0.375,110.012,4
3RaCGXCiiMufRPoexXxGkV,"Slime You Out (feat. SZA)","Slime You Out","Drake,SZA",2023-09-15,310490,69,bxgtbmu29zea5sjxq5q9jfzq5,2024-03-09T15:09:45Z,"rap,hip-hop,r&b","OVO",0.483,0.408,5,-9.243,0,0.0502,0.508,0,0.259,0.105,88.88,3
5LBv48NNyHsknRYwFWC361,"yes, and? (with Mariah Carey) - Remix","yes, and?","Ariana Grande,Mariah Carey",2024-02-16,214994,49,bxgtbmu29zea5sjxq5q9jfzq5,2024-03-09T15:09:45Z,"pop","Republic Records",0.741,0.775,1,-5.389,1,0.049,0.108,0.0000014,0.117,0.78,118.994,4
2Sal9tJ4Be8hwZTONCXgsD,"Meant To","Meant To","Laura Alden",2024-05-10,221694,37,bxgtbmu29zea5sjxq5q9jfzq5,2024-05-11T07:59:53Z,"","Lucky Moon",0.662,0.402,0,-13.48,1,0.1,0.874,0.00000273,0.146,0.229,117.867,4
51ALuTeRrYmSQUGjXdJObC,"STRANGER","STRANGER","Rachelle Show",2024-04-12,180000,9,bxgtbmu29zea5sjxq5q9jfzq5,2024-04-20T21:15:23Z,"","Rachelle Show",0.613,0.663,9,-5.817,0,0.115,0.0658,0.00000389,0.271,0.389,87.74,4
2z63wddJsUqhvALN9KaCCN,"Ways to live forever","Ways to live forever","Mimi",2024-03-01,232816,22,bxgtbmu29zea5sjxq5q9jfzq5,2024-03-09T15:57:36Z,"","igroovemusic.com",0.518,0.1,0,-16.402,1,0.0542,0.928,0.00000243,0.114,0.179,141.496,3
3Rviv1akOeg6RhUNvy1RBR,"One Last Song","One Last Song","Laura Alden",2024-02-23,209000,38,bxgtbmu29zea5sjxq5q9jfzq5,2024-03-09T15:57:36Z,"","Lucky Moon",0.34,0.291,2,-13.435,1,0.0343,0.865,0.0000257,0.0854,0.481,90.103,4
5ifXunb0lVoMt6Pv4TQ7vo,"Where Shadows Hold Sway","Eternal Hope","William Hut",2024-02-09,159998,10,bxgtbmu29zea5sjxq5q9jfzq5,2024-03-09T15:09:45Z,"norweski pop","HQindie",0.558,0.613,9,-10.517,1,0.0247,0.329,0.00324,0.11,0.18,92.972,4
2RppsIHUjcA9uJ310XsmdT,"Set Me Free - 2022 Version","Set Me Free (2022 Version)","Gus & His Freaky Friends",2022-03-18,283500,17,bxgtbmu29zea5sjxq5q9jfzq5,2024-03-09T15:09:45Z,"","Bandrec",0.63,0.854,9,-5.201,0,0.0361,0.0938,0,0.138,0.683,118.023,4
5UsTdoIajSWSPfekDuFx9W,"She - 2022 Version","She (2022 Version)","HVA",2022-03-14,249500,16,bxgtbmu29zea5sjxq5q9jfzq5,2024-03-09T15:09:45Z,"","Bandrec",0.811,0.551,9,-10.502,0,0.0275,0.521,0.00381,0.113,0.626,110.034,4
3w0w2T288dec0mgeZZqoNN,"CARNIVAL","VULTURES 1","¥$,Kanye West,Ty Dolla $ign,Rich The Kid,Playboi Carti",2024-02-09,264324,22,bxgtbmu29zea5sjxq5q9jfzq5,2024-03-09T15:09:45Z,"rap,trap,rage rap","Ye",0.594,0.811,1,-5.746,1,0.159,0.189,0,0.339,0.311,148.144,4
1Rweq7vNjK4kZBbGrmxQsl,"bye","eternal sunshine","Ariana Grande",2024-03-08,164927,77,bxgtbmu29zea5sjxq5q9jfzq5,2024-03-09T15:09:45Z,"pop","Republic Records",0.606,0.645,2,-4.835,0,0.0333,0.204,0,0.14,0.453,110.016,4
57wp7VFnV8X0pSVnYArGeJ,"Whatever She Wants","Whatever She Wants","Bryson Tiller",2024-02-13,161342,79,bxgtbmu29zea5sjxq5q9jfzq5,2024-03-09T15:09:45Z,"r&b","TrapSoul/RCA Records",0.803,0.512,9,-6.871,0,0.066,0.128,0,0.0928,0.435,96.02,4
3qhlB30KknSejmIvZZLjOD,"End of Beginning","DECIDE","Djo",2022-09-16,159245,90,bxgtbmu29zea5sjxq5q9jfzq5,2024-03-09T15:09:45Z,"pop psychodeliczny","Djo",0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
1bjeWoagtHmUKputLVyDxQ,"Saturn","Saturn","SZA",2024-02-22,186191,82,bxgtbmu29zea5sjxq5q9jfzq5,2024-03-09T15:09:45Z,"r&b","Top Dawg Entertainment/RCA Records",0.411,0.619,1,-6.834,1,0.0368,0.62,0,0.11,0.337,177.937,4
3QS9ZCtoSCJhmaJ7QNXSAS,"act ii: date @ 8 (feat. Drake) - remix","act ii: date @ 8 (feat. Drake) [remix]","4batz,Drake",2024-03-08,231338,72,bxgtbmu29zea5sjxq5q9jfzq5,2024-03-09T15:09:45Z,"rap,hip-hop","4batz / OVO Sound",0.55,0.545,0,-9.304,1,0.163,0.318,0,0.0608,0.412,102.469,4
