Track name,Artist name,Album,Spotify Popularity,Spotify Release Date,Spotify Release Year,Track Age,Tags,Genres,bpm,energy,danceability,mood,Track Artist,Update_date
...Baby One More Time (from Kung Fu Panda 4),Tenacious D,...Baby One More Time (from Kung Fu Panda 4),66.0,2024-03-08,2024,0,"'cover', 'Soundtrack', 'Britney Spears'",'Soundtrack',100.0,0.1805,0.9332,neutral,...Baby One More Time (from Kung Fu Panda 4) Tenacious D,2025/11/30
100 Bad - Charli XCX Remix,Tommy Genesis,Tommy Genesis,43.0,2018-11-09,2018,5,"'rap', 'Hip-Hop', 'cloud rap', 'electronic', 'hip hop'","'rap', 'Hip-Hop', 'electronic'",165.0,0.3258,1.2229,energetic,100 Bad - Charli XCX Remix Tommy Genesis,2025/11/30
151 RUM,Max Wassen,151 RUM,23.0,2023-11-02,2023,1,"'hip hop', 'rap', 'hiphop', 'party', 'music'",'rap',161.0,0.2674,1.3027,energetic,151 RUM Max Wassen,2025/11/30
2002,Anne-Marie,Speak Your Mind (Deluxe),83.0,2018-04-27,2018,5,"'pop', 'rnb', 'seen live', 'british', 'electronic'","'pop', 'electronic'",128.0,0.3065,1.1985,energetic,2002 Anne-Marie,2025/11/30
2009,Ralph Kaminski,Młodość,48.0,2019-11-22,2019,5,,,125.0,0.1643,0.9176,energetic,2009 Ralph Kaminski,2025/11/30
25,The Pretty Reckless,25,43.0,2021-02-12,2021,3,"'hard rock', 'rock', 'alternative rock', 'arena rock', 'Ballad'","'hard rock', 'rock', 'alternative rock', 'arena rock'",152.0,0.2119,1.0084,energetic,25 The Pretty Reckless,2025/11/30
2:00,sanah,Irenka,55.0,2021-05-06,2021,2,'polish',,120.0,0.1112,0.9465,neutral,2:00 sanah,2025/11/30
3D (feat. Jack Harlow),Jung Kook,3D : The Remixes,79.0,2023-10-02,2023,1,"'pop', 'k-pop', 'Korean', 'bot', 'worst of 2024'","'pop', 'k-pop'",108.0,0.2839,1.2915,bright,3D (feat. Jack Harlow) Jung Kook,2025/11/30
500lbs,Lil Tecca,TEC,83.0,2023-09-22,2023,1,"'rap', 'Hip-Hop', 'trap', 'hip hop', 'new york'","'rap', 'Hip-Hop', 'trap'",122.0,0.3201,1.2139,energetic,500lbs Lil Tecca,2025/11/30
7 Years,Lukas Graham,Lukas Graham (Blue Album),85.0,2016-04-01,2016,7,"'pop', 'soul', 'danish', 'seen live', 'retro pop'","'pop', 'soul'",120.0,0.1879,1.1421,neutral,7 Years Lukas Graham,2025/11/30
A Bar Song (Tipsy),Shaboozey,"Where I've Been, Isn't Where I'm Going",88.0,2024-04-12,2024,0,"'country', 'rap', 'Hip-Hop', 'pop', 'seen live'","'country', 'rap', 'Hip-Hop', 'pop'",161.0,0.2391,1.1213,energetic,A Bar Song (Tipsy) Shaboozey,2025/11/30
A Sky Full of Stars,Coldplay,Ghost Stories,90.0,2014-05-16,2014,9,"'pop', 'alternative rock', 'electronic', '2014', 'eletronic'","'pop', 'alternative rock', 'electronic'",125.0,0.2181,1.0121,energetic,A Sky Full of Stars Coldplay,2025/11/30
A World Not so Beautiful [A Song 4 the Emperor],Ordo Rosarius Equilibrio,Songs 4 Hate & Devotion,28.0,2010-10-29,2010,14,"'punishment and pleasure', 'alternative rock', 'industrial', 'neoclassical', 'apocalyptic folk'","'alternative rock', 'industrial'",120.0,0.2129,0.9725,neutral,A World Not so Beautiful [A Song 4 the Emperor] Ordo Rosarius Equilibrio,2025/11/30
Aaj,Bloodywood,Rakshak,51.0,2022-02-18,2022,2,"'folk metal', 'neofolk', 'Nu Metal', 'personal favourites', 'groove metal'","'folk metal', 'neofolk', 'Nu Metal', 'groove metal'",120.0,0.3465,1.1345,bright,Aaj Bloodywood,2025/11/30
About Damn Time,Lizzo,Special,77.0,2022-07-15,2022,1,"'seen live', 'Hip-Hop', 'pop', 'rnb', 'rap'","'Hip-Hop', 'pop', 'rap'",108.0,0.1099,1.289,bright,About Damn Time Lizzo,2025/11/30
Absolute Zero,Stone Sour,"House of Gold & Bones, Part 1",68.0,2012-10-17,2012,12,"'alternative metal', 'hard rock', 'rock', 'Nu-metal', 'Stone Sour'","'hard rock', 'rock'",141.0,0.2317,1.0892,energetic,Absolute Zero Stone Sour,2025/11/30
Activate,Oscillian,"Pure Darkwave, Vol. 1",28.0,2019-07-13,2019,5,,,100.0,0.342,1.2516,neutral,Activate Oscillian,2025/11/30
Activate ,Oscillian,"Pure Darkwave, Vol. 1",28.0,2019-07-13,2019,5,,,100.0,0.342,1.2516,neutral,Activate  Oscillian,2025/11/30
Adrenalize,In This Moment,Blood,60.0,2012-08-14,2012,12,"'metalcore', 'female vocalists', 'alternative metal', 'metal', 'industrial metal'","'metalcore', 'metal', 'industrial metal'",131.0,0.2829,1.0355,energetic,Adrenalize In This Moment,2025/11/30
Afraid,The Neighbourhood,I Love You.,79.0,2013-04-22,2013,11,"'indie', 'indie rock', 'alternative', 'rock', 'chill'","'indie rock', 'alternative', 'rock'",112.0,0.2689,1.0104,neutral,Afraid The Neighbourhood,2025/11/30
After Dark - 2015 Remaster,Tito & Tarantula,Tarantism (2015 Remaster),58.0,1997-01-01,1997,27,"'rock', 'blues', 'Southern Rock', 'Garage Rock', 'alternative'","'rock', 'blues', 'Southern Rock', 'alternative'",100.0,0.2502,1.0864,neutral,After Dark - 2015 Remaster Tito & Tarantula,2025/11/30
Agora Hills,Doja Cat,Scarlet,79.0,2023-09-22,2023,1,"'pop', 'rnb', 'rap', 'Hip-Hop', 'hip hop'","'pop', 'rap', 'Hip-Hop'",122.0,0.2181,1.1902,energetic,Agora Hills Doja Cat,2025/11/30
Ain't No Sun Since You've Been Gone,Dusty Springfield,Dusty... Definitely (Expanded Edtion),28.0,1968-11-22,1968,55,"'soul', 'female vocalists', '60s', 'pop', 'oldies'","'soul', 'pop'",148.0,0.2311,0.9843,energetic,Ain't No Sun Since You've Been Gone Dusty Springfield,2025/11/30
Ale jazz!,sanah,Irenka,57.0,2021-05-06,2021,2,,,102.0,0.2469,1.2335,neutral,Ale jazz! sanah,2025/11/30
Alive,Sia,This Is Acting,60.0,2016-01-29,2016,7,"'pop', 'Ballad', 'female', 'female vocalists', 'australian'",'pop',100.0,0.1602,0.9216,neutral,Alive Sia,2025/11/30
All Eyes,Imagine Dragons,Hell And Silence EP,47.0,2010-06-01,2010,14,"'alternative', 'alternative rock', 'indie rock', 'indie', 'indie pop'","'alternative', 'alternative rock', 'indie rock', 'indie pop'",137.0,0.2091,1.0694,energetic,All Eyes Imagine Dragons,2025/11/30
All Eyes on You,Smash Into Pieces,Arcadia,73.0,2015-06-29,2015,9,"'alternative rock', 'rock', 'hard rock', 'seen live', 'swedish'","'alternative rock', 'rock', 'hard rock'",91.0,0.2916,1.102,neutral,All Eyes on You Smash Into Pieces,2025/11/30
All Good Things (Come To An End),Nelly Furtado,Loose,71.0,2006-01-01,2006,17,"'pop', 'female vocalists', 'Canadian', 'folk', 'singer-songwriter'",'pop',100.0,0.222,1.084,bright,All Good Things (Come To An End) Nelly Furtado,2025/11/30
All I Need (feat. Beth Hirsch),Air,Moon Safari,70.0,1998-01-16,1998,26,"'electronic', 'chillout', 'ambient', 'french', 'electronica'","'electronic', 'ambient', 'electronica'",95.0,0.208,0.9044,neutral,All I Need (feat. Beth Hirsch) Air,2025/11/30
All I Wanna Do,Sheryl Crow,Tuesday Night Music Club,75.0,1993-08-03,1993,31,"'female vocalists', 'rock', 'pop', 'singer-songwriter', 'alternative'","'rock', 'pop', 'alternative'",120.0,0.2473,1.1876,neutral,All I Wanna Do Sheryl Crow,2025/11/30
All the Clowns,Edguy,Mandrake,41.0,2001-09-24,2001,23,"'Power metal', 'heavy metal', 'metal', 'melodic metal', 'edguy'","'Power metal', 'heavy metal', 'metal'",104.0,0.1507,1.044,neutral,All the Clowns Edguy,2025/11/30
Allentown Jail (Remastered),Dusty Springfield,50 Hits With “The Springfields” (Remastered),1.0,2019-12-11,2019,4,"'soul', 'female vocalists', '60s', 'pop', 'oldies'","'soul', 'pop'",,0.1756,1.0323,unknown,Allentown Jail (Remastered) Dusty Springfield,2025/11/30
Always Forever,Cults,Static,83.0,2013-10-15,2013,10,"'indie pop', 'Lo-Fi', 'experimental', 'seen live', 'noise'","'indie pop', 'Lo-Fi', 'noise'",161.0,0.1944,1.0206,energetic,Always Forever Cults,2025/11/30
Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack (Without Dialogue),86.0,2018-10-05,2018,6,"'Love', 'best of 2018', 'Soundtrack', 'pop', 'country'","'Soundtrack', 'pop', 'country'",131.0,0.1088,0.9556,energetic,Always Remember Us This Way Lady Gaga,2025/11/30
Andrew,Julia Marcell,Proxy,24.0,2016-04-12,2016,7,"'polish', 'indie', 'alternative', 'art pop', '2016 single'",'alternative',128.0,0.2394,0.9701,energetic,Andrew Julia Marcell,2025/11/30
Anioły i Demony,Farben Lehre,Achtung 2012,60.0,2020-03-19,2020,3,"'punk rock', 'punk', 'polish', 'polish punk', 'rock'","'punk', 'rock'",170.0,0.251,1.1257,energetic,Anioły i Demony Farben Lehre,2025/11/30
Ann Wants to Dance,Papooz,Green Juice,49.0,2016-06-03,2016,8,"'indie pop', 'french', 'pop', 'indie', 'france'","'indie pop', 'pop'",100.0,0.185,1.0579,neutral,Ann Wants to Dance Papooz,2025/11/30
